Year,Activity,Value of gross output (RM'000),Value of intermediate input (RM'000),Value added (RM'000),Total number of persons engaged during December or the last pay period,Salaries & wages paid (RM'000),Value of  fixed assets owned as at the end of the year (RM'000)
2010,Food services,29843336,16840427,13002909,508799,3912368,3291752
2010,Event  catering services,3630237,1928068,1702169,72892,532814,303285
2010,Beverage services,3851989,2129420,1722569,64052,489658,360747
2012,Food services,34576380,19314719,15261661,644267,5607556,4071353
2012,Event  catering services,3815045,1962845,1852200,76871,604770,448815
2012,Beverage services,4193174,2155100,2038074,82295,630751,567974
2015,Food services,53370445,30965216,22405229,710174,7766234,7966467
2015,Event  catering services,5841686,3273058,2568628,99520,985178,589586
2015,Beverage services,7173493,4174475,2999018,81922,899740,977479
2017,Food services,67146698,38804741,28341957,758992,9904672,9042357
2017,Event  catering services,6779617,3782394,2997223,106701,1209538,644913
2017,Beverage services,8848596,4953554,3895042,93110,1108105,1115179
